17.12 0.93 -1.73
9.01 0.57 0.05
14.52 -2.28 1.08
14.79 -0.94 0.50
15.83 -1.67 0.42
15.73 1.05 0.12
14.28 0.25 -0.09
17.44 2.80 -0.07
18.31 -2.04 0.22
19.28 -3.11 -0.34
14.52 2.60 0.56
15.22 2.32 -0.02
13.44 -0.50 -0.25
18.12 -1.94 0.47
17.98 -1.63 -0.42
17.60 0.96 -0.96
16.90 1.12 -0.97
16.44 -0.46 -0.67
13.62 -0.46 -1.07
14.73 -0.19 -0.43
14.17 -1.83 -0.24
15.30 0.95 -0.22
14.51 -0.33 -0.97
14.09 0.87 -1.51
14.92 3.27 -0.46
14.73 -1.23 -1.81
14.49 -0.99 -2.49
18.05 0.21 -0.11
12.98 -2.06 0.76
16.51 -2.20 0.87
15.67 -0.64 0.43
12.52 1.36 1.33
14.30 -0.87 1.21
13.97 -0.45 0.19
14.19 -1.77 -0.67
9.10 -1.26 0.19
11.18 0.01 2.55
12.96 1.31 2.21
13.03 2.80 0.42
16.26 2.23 -1.85
13.86 0.44 0.42
16.88 1.71 0.23
16.75 1.86 0.19
16.65 3.56 0.26
18.52 1.68 0.98
18.42 1.16 -0.04
18.10 1.48 -0.54
18.13 0.59 -0.33
19.70 1.06 -1.53
15.18 2.58 -0.99
18.35 2.99 -0.83
18.43 -0.09 -0.55
19.51 2.14 -0.61
17.30 3.97 -0.70
17.73 1.06 -0.57
15.52 0.99 -0.81
15.12 1.30 -1.00
14.63 -1.95 -0.48
14.18 -2.14 0.06
17.71 -4.67 -0.31
14.67 -6.21 -0.41
18.26 -2.94 2.73
13.73 -2.94 -2.38
13.92 -2.60 -1.35
18.60 0.09 -0.76
18.25 1.04 -2.10
16.01 -0.01 -0.40
17.36 -0.80 -0.05
15.98 -1.76 0.32
14.54 -1.94 0.52
13.96 -0.15 1.37
17.98 1.00 0.75
17.38 2.98 -0.18
16.17 -0.59 -2.30
14.39 4.51 -1.04
13.46 1.15 -1.70
17.00 -2.23 -1.46
15.68 -1.33 -1.42
16.01 0.37 -0.39
10.29 1.07 1.72
13.11 2.30 1.79
16.70 2.29 -0.41
15.32 1.66 -1.87
17.74 2.33 -2.27
13.88 9.73 -1.09
18.82 6.24 -0.58
11.44 -4.83 -0.57
11.81 -1.33 0.33
15.38 1.16 0.54
11.34 4.84 -0.33
11.01 -0.77 -3.02
11.96 1.19 -0.77
12.78 -0.75 -0.57
13.62 2.50 0.21
17.84 1.97 0.38
17.32 0.30 -1.08
17.82 0.87 -1.16
15.36 0.57 -0.28
18.19 -1.05 -0.33
16.56 -1.20 -1.26
17.97 -0.08 -1.01
21.62 0.31 -1.97
19.56 0.50 -1.12
20.32 -1.42 0.55
21.27 3.07 -0.25
14.86 -0.17 -0.55
16.06 2.12 0.19
17.98 -1.03 0.80
11.27 1.95 1.63
15.55 1.37 1.75
13.22 -2.70 0.79
11.65 -3.95 1.54
13.61 -4.14 1.29
16.42 -2.33 -1.99
11.88 -0.16 -0.61
6.89 -0.40 0.28
13.64 -1.60 1.41
13.93 0.79 0.44
13.07 0.39 0.39
13.62 -0.08 0.33
14.39 -2.47 -0.20
12.92 -1.07 -1.30
10.54 -1.73 -0.74
13.56 1.14 0.45
16.09 -2.46 -0.68
12.05 1.10 -0.35
17.59 -0.42 1.07
20.81 2.93 -1.27
20.29 -0.32 -1.68
18.90 1.22 -0.60
17.22 -1.08 -0.41
17.32 1.99 -0.94
20.05 -2.28 -2.10
20.45 -1.81 -2.76
21.56 -4.47 -0.76
21.73 -0.20 -2.10
12.92 6.63 1.52
17.28 -3.48 0.22
20.84 -0.76 0.45
17.76 -0.63 -0.94
18.53 1.47 1.23
20.36 -7.03 0.34
10.26 -12.93 1.19
16.49 -1.78 1.15
18.01 -0.36 0.31
18.09 0.81 -1.17
12.99 0.17 0.15
21.69 1.85 -1.80
19.01 1.90 -0.27
21.62 -1.74 -0.59
15.12 0.56 -0.81
21.34 2.02 0.34
18.53 -0.77 0.10
18.64 -0.86 0.68
21.92 -1.51 1.44
22.05 -2.65 -0.03
21.39 1.10 0.62
23.59 0.14 -0.49
22.42 0.84 -1.72
20.06 1.45 -1.44
20.31 2.33 -1.69
16.78 2.63 -1.08
19.78 1.83 -0.06
18.58 -0.06 -0.92
15.47 2.24 -0.41
18.82 0.80 -0.33
20.27 1.85 1.03
19.99 0.76 0.75
19.56 0.29 -0.05
15.90 -1.02 0.52
19.04 2.44 0.29
20.16 1.51 -0.23
20.10 1.09 -0.26
18.27 0.77 0.60
17.83 -0.97 0.70
19.00 -0.10 0.26
18.16 -1.69 0.03
17.12 -0.93 -0.45
14.94 -3.93 -0.68
11.91 -3.44 0.08
15.74 1.32 0.89
17.30 0.96 0.55
15.66 2.12 -0.25
15.07 -2.71 0.01
15.80 -1.76 -0.16
20.50 -3.13 -1.15
17.74 -0.64 -1.29
17.00 -2.36 -0.37
17.78 -3.68 -1.10
3.60 -4.18 -0.36
19.09 -2.64 1.77
16.46 -1.34 0.33
14.30 1.07 -0.16
15.06 1.57 -0.17
14.23 0.15 -0.32
11.04 1.90 -0.13
13.85 1.83 -0.45
13.29 3.42 -0.44
15.87 0.51 -0.99
15.05 0.46 -0.61
12.23 3.46 1.12
14.80 -0.03 1.06
12.60 1.22 1.22
12.43 -1.26 1.21
12.78 4.34 0.29
10.95 1.26 -0.27
14.48 0.74 -0.11
12.86 -1.91 -0.10
12.64 -0.25 -0.04
10.80 2.40 0.88
12.20 7.82 0.93
16.18 2.09 2.03
16.17 3.15 1.70
12.50 -3.64 0.29
13.68 -0.58 1.42
16.84 -0.38 0.56
19.26 -0.29 -1.08
12.85 1.36 -1.81
16.57 1.15 -1.67
13.01 -0.97 -1.03
13.22 0.50 -1.96
14.45 -3.08 -2.33
15.39 -6.45 -2.25
15.86 -5.00 -1.63
-1.27 52.31 -2.13
14.41 -2.12 -0.71
13.30 3.27 -1.14
13.54 0.24 -0.46
13.29 -1.58 -0.18
13.11 3.63 -0.55
12.89 5.69 -0.59
19.25 1.74 -0.66
18.18 2.80 -0.84
19.11 4.23 -0.22
22.11 1.86 0.11
24.13 1.68 -3.51
18.83 2.07 1.67
22.01 1.77 0.09
21.95 0.80 -0.79
21.88 3.76 -1.25
19.75 1.43 0.22
