Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
02,2022,03,30,15,44,52,-0.631,-0.426,1.375,48.57,47.73,50.405,-214.22,-391.022,15915.61,10.222
02,2022,03,30,15,44,52,-0.36,-0.247,0.739,48.992,50.645,49.525,-139.674,-4.347,15710.46,10.222
02,2022,03,30,15,44,53,-0.406,-0.337,1.207,50.416,49.961,50.292,-301.187,-62.37,15788.51,10.222
02,2022,03,30,15,44,53,-0.429,-0.396,1.136,50.172,48.724,49.321,-479.519,-187.732,15971.48,10.222
02,2022,03,30,15,44,54,-0.621,-0.391,1.324,49.215,49.254,51.851,-186.632,-2.369,15721.25,10.222
02,2022,03,30,15,44,54,-0.396,-0.277,1.092,49.326,49.276,50.112,-66.213,-728.781,15573.43,10.222
02,2022,03,30,15,44,55,-0.409,-0.327,1.128,50.305,48.591,51.625,-850.003,259.361,16052.06,10.222
02,2022,03,30,15,44,55,-0.374,-0.356,0.916,47.858,48.746,51.038,-730.676,-160.056,16108.79,10.222
02,2022,03,30,15,44,56,-0.444,-0.331,1.205,49.593,50.336,50.067,-602.909,-199.413,16007.88,10.222
02,2022,03,30,15,44,56,-0.619,-0.352,1.071,49.704,50.579,51.309,-538.937,-377.007,16024.81,10.222
02,2022,03,30,15,44,57,-0.57,-0.378,1.179,47.235,48.128,50.97,23.266,-769.812,15629.96,10.222
02,2022,03,30,15,44,57,-0.498,-0.421,1.324,49.081,48.128,51.038,-391.525,-241.888,15792.5,10.222
02,2022,03,30,15,44,58,-0.367,-0.392,1.202,50.527,49.188,51.941,-615.259,89.713,15698.66,10.222
02,2022,03,30,15,44,58,-0.59,-0.415,1.384,48.992,47.597,52.167,-420.425,-789.113,16028.27,10.222
02,2022,03,30,15,44,59,-0.387,-0.453,0.987,48.147,51.463,49.931,-328.386,-461.586,15903.06,10.222
02,2022,03,30,15,44,59,-0.442,-0.333,1.065,48.926,52.567,51.512,-440.432,-46.119,15866.97,10.222
02,2022,03,30,15,45,00,-0.357,-0.212,0.409,49.682,49.453,52.46,-188.617,-271.418,15646.03,10.222
02,2022,03,30,15,45,00,-0.686,-0.371,1.185,46.189,47.244,47.424,-190.98,373.313,15887.71,10.222
02,2022,03,30,15,45,01,-0.281,-0.407,1.216,48.859,48.503,50.225,-99.865,197.415,15722.33,10.222
02,2022,03,30,15,45,01,-0.69,-0.142,0.589,48.303,49.431,51.828,-355.331,153.56,15673.45,10.222
02,2022,03,30,15,45,02,-0.577,-0.46,1.428,47.68,46.714,50.044,-338.939,-355.785,15828.01,10.222
02,2022,03,30,15,45,02,-0.399,-0.524,1.859,49.882,47.995,49.796,-295.589,-181.07,15759.49,10.222
02,2022,03,30,15,45,03,-0.571,-0.319,0.503,48.414,49.718,50.473,-431.651,-125.256,15853.53,10.222
02,2022,03,30,15,45,03,-0.602,-0.283,1.341,48.592,47.443,48.779,-137.81,-456.952,15692.53,10.222
02,2022,03,30,15,45,04,-0.146,-0.314,1.393,49.949,48.282,49.141,-35.418,-270.417,15657.58,10.222
02,2022,03,30,15,45,04,-0.42,-0.467,1.436,48.102,47.863,50.721,-374.017,-57.083,15907.23,10.222
02,2022,03,30,15,45,05,-0.285,-0.349,0.304,48.369,48.172,50.36,-253.182,69.046,15751.92,10.222
02,2022,03,30,15,45,05,-0.573,-0.339,1.171,48.169,49.939,50.767,-134.774,256.157,15605.8,10.222
02,2022,03,30,15,45,06,-0.394,-0.357,0.97,48.369,49.055,50.676,-269.241,-452.529,15909.81,10.222
02,2022,03,30,15,45,06,-0.116,-0.31,0.29,50.216,48.238,50.563,-301.223,-478.259,15940.81,10.222
02,2022,03,30,15,45,07,-0.275,-0.259,1.102,49.86,49.254,50.857,-551.862,-23.708,15883.62,10.222
